GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AJWME001,NAME_M,AJWMM001
"G1600210","2014-2018",,,"Idaho","16","Boundary County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boundary County, Idaho",11549,"Boundary County, Idaho",0
"G1600230","2014-2018",,,"Idaho","16","Butte County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Butte County, Idaho",2602,"Butte County, Idaho",0
"G1600250","2014-2018",,,"Idaho","16","Camas County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Camas County, Idaho",886,"Camas County, Idaho",105
"G1600270","2014-2018",,,"Idaho","16","Canyon County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Canyon County, Idaho",212230,"Canyon County, Idaho",0
"G1600290","2014-2018",,,"Idaho","16","Caribou County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Caribou County, Idaho",6918,"Caribou County, Idaho",0
"G1600310","2014-2018",,,"Idaho","16","Cassia County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cassia County, Idaho",23615,"Cassia County, Idaho",0
"G1600330","2014-2018",,,"Idaho","16","Clark County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clark County, Idaho",1077,"Clark County, Idaho",105
"G1600350","2014-2018",,,"Idaho","16","Clearwater County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clearwater County, Idaho",8640,"Clearwater County, Idaho",0
"G1600370","2014-2018",,,"Idaho","16","Custer County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Custer County, Idaho",4141,"Custer County, Idaho",0
"G1600390","2014-2018",,,"Idaho","16","Elmore County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Elmore County, Idaho",26433,"Elmore County, Idaho",0
"G1600410","2014-2018",,,"Idaho","16","Franklin County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Franklin County, Idaho",13279,"Franklin County, Idaho",0
"G1600430","2014-2018",,,"Idaho","16","Fremont County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fremont County, Idaho",12965,"Fremont County, Idaho",0
"G1600450","2014-2018",,,"Idaho","16","Gem County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gem County, Idaho",17052,"Gem County, Idaho",0
"G1600470","2014-2018",,,"Idaho","16","Gooding County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gooding County, Idaho",15169,"Gooding County, Idaho",0
"G1600490","2014-2018",,,"Idaho","16","Idaho County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Idaho County, Idaho",16337,"Idaho County, Idaho",0
"G1600510","2014-2018",,,"Idaho","16","Jefferson County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jefferson County, Idaho",27969,"Jefferson County, Idaho",0
"G1600530","2014-2018",,,"Idaho","16","Jerome County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jerome County, Idaho",23431,"Jerome County, Idaho",0
"G1600550","2014-2018",,,"Idaho","16","Kootenai County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kootenai County, Idaho",153605,"Kootenai County, Idaho",0
"G1600570","2014-2018",,,"Idaho","16","Latah County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Latah County, Idaho",39239,"Latah County, Idaho",0
"G1600590","2014-2018",,,"Idaho","16","Lemhi County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lemhi County, Idaho",7798,"Lemhi County, Idaho",0
"G1600610","2014-2018",,,"Idaho","16","Lewis County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lewis County, Idaho",3845,"Lewis County, Idaho",0
"G1600630","2014-2018",,,"Idaho","16","Lincoln County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lincoln County, Idaho",5321,"Lincoln County, Idaho",0
"G1600650","2014-2018",,,"Idaho","16","Madison County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Madison County, Idaho",38705,"Madison County, Idaho",0
"G1600670","2014-2018",,,"Idaho","16","Minidoka County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Minidoka County, Idaho",20615,"Minidoka County, Idaho",0
"G1600690","2014-2018",,,"Idaho","16","Nez Perce County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nez Perce County, Idaho",40155,"Nez Perce County, Idaho",0
"G1600710","2014-2018",,,"Idaho","16","Oneida County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Oneida County, Idaho",4326,"Oneida County, Idaho",0
"G1600730","2014-2018",,,"Idaho","16","Owyhee County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Owyhee County, Idaho",11455,"Owyhee County, Idaho",0
"G1600750","2014-2018",,,"Idaho","16","Payette County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Payette County, Idaho",23041,"Payette County, Idaho",0
"G1600770","2014-2018",,,"Idaho","16","Power County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Power County, Idaho",7713,"Power County, Idaho",0
"G1600790","2014-2018",,,"Idaho","16","Shoshone County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shoshone County, Idaho",12526,"Shoshone County, Idaho",0
"G1600810","2014-2018",,,"Idaho","16","Teton County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Teton County, Idaho",11080,"Teton County, Idaho",0
"G1600830","2014-2018",,,"Idaho","16","Twin Falls County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Twin Falls County, Idaho",83666,"Twin Falls County, Idaho",0
"G1600850","2014-2018",,,"Idaho","16","Valley County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Valley County, Idaho",10401,"Valley County, Idaho",0
"G1600870","2014-2018",,,"Idaho","16","Washington County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Washington County, Idaho",10025,"Washington County, Idaho",0
"G1700010","2014-2018",,,"Illinois","17","Adams County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adams County, Illinois",66427,"Adams County, Illinois",0
"G1700030","2014-2018",,,"Illinois","17","Alexander County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alexander County, Illinois",6532,"Alexander County, Illinois",0
"G1700050","2014-2018",,,"Illinois","17","Bond County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bond County, Illinois",16712,"Bond County, Illinois",0
"G1700070","2014-2018",,,"Illinois","17","Boone County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boone County, Illinois",53606,"Boone County, Illinois",0
"G1700090","2014-2018",,,"Illinois","17","Brown County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brown County, Illinois",6675,"Brown County, Illinois",0
"G1700110","2014-2018",,,"Illinois","17","Bureau County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bureau County, Illinois",33381,"Bureau County, Illinois",0
"G1700130","2014-2018",,,"Illinois","17","Calhoun County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Calhoun County, Illinois",4858,"Calhoun County, Illinois",0
"G1700150","2014-2018",,,"Illinois","17","Carroll County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carroll County, Illinois",14562,"Carroll County, Illinois",0
"G1700170","2014-2018",,,"Illinois","17","Cass County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cass County, Illinois",12665,"Cass County, Illinois",0
"G1700190","2014-2018",,,"Illinois","17","Champaign County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Champaign County, Illinois",209448,"Champaign County, Illinois",0
"G1700210","2014-2018",,,"Illinois","17","Christian County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Christian County, Illinois",33231,"Christian County, Illinois",0
"G1700230","2014-2018",,,"Illinois","17","Clark County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clark County, Illinois",15836,"Clark County, Illinois",0
"G1700250","2014-2018",,,"Illinois","17","Clay County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clay County, Illinois",13338,"Clay County, Illinois",0
"G1700270","2014-2018",,,"Illinois","17","Clinton County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clinton County, Illinois",37628,"Clinton County, Illinois",0
"G1700290","2014-2018",,,"Illinois","17","Coles County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coles County, Illinois",51736,"Coles County, Illinois",0
"G1700310","2014-2018",,,"Illinois","17","Cook County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cook County, Illinois",5223719,"Cook County, Illinois",0
"G1700330","2014-2018",,,"Illinois","17","Crawford County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crawford County, Illinois",19088,"Crawford County, Illinois",0
"G1700350","2014-2018",,,"Illinois","17","Cumberland County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cumberland County, Illinois",10865,"Cumberland County, Illinois",0
"G1700370","2014-2018",,,"Illinois","17","DeKalb County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DeKalb County, Illinois",104200,"DeKalb County, Illinois",0
"G1700390","2014-2018",,,"Illinois","17","De Witt County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"De Witt County, Illinois",16042,"De Witt County, Illinois",0
"G1700410","2014-2018",,,"Illinois","17","Douglas County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Douglas County, Illinois",19714,"Douglas County, Illinois",0
"G1700430","2014-2018",,,"Illinois","17","DuPage County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DuPage County, Illinois",931743,"DuPage County, Illinois",0
"G1700450","2014-2018",,,"Illinois","17","Edgar County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Edgar County, Illinois",17539,"Edgar County, Illinois",0
"G1700470","2014-2018",,,"Illinois","17","Edwards County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Edwards County, Illinois",6507,"Edwards County, Illinois",0
"G1700490","2014-2018",,,"Illinois","17","Effingham County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Effingham County, Illinois",34174,"Effingham County, Illinois",0
"G1700510","2014-2018",,,"Illinois","17","Fayette County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fayette County, Illinois",21724,"Fayette County, Illinois",0
"G1700530","2014-2018",,,"Illinois","17","Ford County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ford County, Illinois",13398,"Ford County, Illinois",0
"G1700550","2014-2018",,,"Illinois","17","Franklin County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Franklin County, Illinois",39127,"Franklin County, Illinois",0
"G1700570","2014-2018",,,"Illinois","17","Fulton County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fulton County, Illinois",35418,"Fulton County, Illinois",0
"G1700590","2014-2018",,,"Illinois","17","Gallatin County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gallatin County, Illinois",5157,"Gallatin County, Illinois",0
"G1700610","2014-2018",,,"Illinois","17","Greene County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Greene County, Illinois",13218,"Greene County, Illinois",0
"G1700630","2014-2018",,,"Illinois","17","Grundy County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Grundy County, Illinois",50509,"Grundy County, Illinois",0
"G1700650","2014-2018",,,"Illinois","17","Hamilton County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hamilton County, Illinois",8221,"Hamilton County, Illinois",0
"G1700670","2014-2018",,,"Illinois","17","Hancock County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hancock County, Illinois",18112,"Hancock County, Illinois",0
"G1700690","2014-2018",,,"Illinois","17","Hardin County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hardin County, Illinois",4009,"Hardin County, Illinois",0
"G1700710","2014-2018",,,"Illinois","17","Henderson County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Henderson County, Illinois",6884,"Henderson County, Illinois",0
"G1700730","2014-2018",,,"Illinois","17","Henry County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Henry County, Illinois",49464,"Henry County, Illinois",0
"G1700750","2014-2018",,,"Illinois","17","Iroquois County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Iroquois County, Illinois",28169,"Iroquois County, Illinois",0
"G1700770","2014-2018",,,"Illinois","17","Jackson County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jackson County, Illinois",58551,"Jackson County, Illinois",0
"G1700790","2014-2018",,,"Illinois","17","Jasper County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jasper County, Illinois",9598,"Jasper County, Illinois",0
"G1700810","2014-2018",,,"Illinois","17","Jefferson County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jefferson County, Illinois",38169,"Jefferson County, Illinois",0
"G1700830","2014-2018",,,"Illinois","17","Jersey County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jersey County, Illinois",22069,"Jersey County, Illinois",0
"G1700850","2014-2018",,,"Illinois","17","Jo Daviess County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jo Daviess County, Illinois",21834,"Jo Daviess County, Illinois",0
"G1700870","2014-2018",,,"Illinois","17","Johnson County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Johnson County, Illinois",12602,"Johnson County, Illinois",0
"G1700890","2014-2018",,,"Illinois","17","Kane County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kane County, Illinois",530839,"Kane County, Illinois",0
"G1700910","2014-2018",,,"Illinois","17","Kankakee County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kankakee County, Illinois",111061,"Kankakee County, Illinois",0
"G1700930","2014-2018",,,"Illinois","17","Kendall County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kendall County, Illinois",124626,"Kendall County, Illinois",0
"G1700950","2014-2018",,,"Illinois","17","Knox County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Knox County, Illinois",50999,"Knox County, Illinois",0
"G1700970","2014-2018",,,"Illinois","17","Lake County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lake County, Illinois",703619,"Lake County, Illinois",0
"G1700990","2014-2018",,,"Illinois","17","LaSalle County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LaSalle County, Illinois",110401,"LaSalle County, Illinois",0
"G1701010","2014-2018",,,"Illinois","17","Lawrence County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lawrence County, Illinois",16189,"Lawrence County, Illinois",0
"G1701030","2014-2018",,,"Illinois","17","Lee County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lee County, Illinois",34527,"Lee County, Illinois",0
"G1701050","2014-2018",,,"Illinois","17","Livingston County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Livingston County, Illinois",36324,"Livingston County, Illinois",0
"G1701070","2014-2018",,,"Illinois","17","Logan County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Logan County, Illinois",29207,"Logan County, Illinois",0
"G1701090","2014-2018",,,"Illinois","17","McDonough County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"McDonough County, Illinois",30875,"McDonough County, Illinois",0
"G1701110","2014-2018",,,"Illinois","17","McHenry County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"McHenry County, Illinois",307789,"McHenry County, Illinois",0
"G1701130","2014-2018",,,"Illinois","17","McLean County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"McLean County, Illinois",173219,"McLean County, Illinois",0
"G1701150","2014-2018",,,"Illinois","17","Macon County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Macon County, Illinois",106512,"Macon County, Illinois",0
"G1701170","2014-2018",,,"Illinois","17","Macoupin County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Macoupin County, Illinois",45719,"Macoupin County, Illinois",0
"G1701190","2014-2018",,,"Illinois","17","Madison County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Madison County, Illinois",265670,"Madison County, Illinois",0
"G1701210","2014-2018",,,"Illinois","17","Marion County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marion County, Illinois",38084,"Marion County, Illinois",0
"G1701230","2014-2018",,,"Illinois","17","Marshall County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marshall County, Illinois",11794,"Marshall County, Illinois",0
"G1701250","2014-2018",,,"Illinois","17","Mason County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mason County, Illinois",13778,"Mason County, Illinois",0
"G1701270","2014-2018",,,"Illinois","17","Massac County","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Massac County, Illinois",14430,"Massac County, Illinois",0
"G1701290","2014-2018",,,"Illinois","17","Menard County","129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Menard County, Illinois",12367,"Menard County, Illinois",0
"G1701310","2014-2018",,,"Illinois","17","Mercer County","131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mercer County, Illinois",15693,"Mercer County, Illinois",0
"G1701330","2014-2018",,,"Illinois","17","Monroe County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Monroe County, Illinois",33936,"Monroe County, Illinois",0
"G1701350","2014-2018",,,"Illinois","17","Montgomery County","135",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Montgomery County, Illinois",29009,"Montgomery County, Illinois",0
"G1701370","2014-2018",,,"Illinois","17","Morgan County","137",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morgan County, Illinois",34426,"Morgan County, Illinois",0
"G1701390","2014-2018",,,"Illinois","17","Moultrie County","139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Moultrie County, Illinois",14703,"Moultrie County, Illinois",0
"G1701410","2014-2018",,,"Illinois","17","Ogle County","141",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ogle County, Illinois",51328,"Ogle County, Illinois",0
"G1701430","2014-2018",,,"Illinois","17","Peoria County","143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Peoria County, Illinois",184463,"Peoria County, Illinois",0
"G1701450","2014-2018",,,"Illinois","17","Perry County","145",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Perry County, Illinois",21384,"Perry County, Illinois",0
"G1701470","2014-2018",,,"Illinois","17","Piatt County","147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Piatt County, Illinois",16427,"Piatt County, Illinois",0
"G1701490","2014-2018",,,"Illinois","17","Pike County","149",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pike County, Illinois",15754,"Pike County, Illinois",0
"G1701510","2014-2018",,,"Illinois","17","Pope County","151",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pope County, Illinois",4249,"Pope County, Illinois",0
"G1701530","2014-2018",,,"Illinois","17","Pulaski County","153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pulaski County, Illinois",5611,"Pulaski County, Illinois",0
"G1701550","2014-2018",,,"Illinois","17","Putnam County","155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Putnam County, Illinois",5746,"Putnam County, Illinois",0
"G1701570","2014-2018",,,"Illinois","17","Randolph County","157",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Randolph County, Illinois",32546,"Randolph County, Illinois",0
"G1701590","2014-2018",,,"Illinois","17","Richland County","159",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Richland County, Illinois",15881,"Richland County, Illinois",0
"G1701610","2014-2018",,,"Illinois","17","Rock Island County","161",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rock Island County, Illinois",145275,"Rock Island County, Illinois",0
"G1701630","2014-2018",,,"Illinois","17","St. Clair County","163",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"St. Clair County, Illinois",263463,"St. Clair County, Illinois",0
"G1701650","2014-2018",,,"Illinois","17","Saline County","165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Saline County, Illinois",24231,"Saline County, Illinois",0
"G1701670","2014-2018",,,"Illinois","17","Sangamon County","167",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sangamon County, Illinois",197661,"Sangamon County, Illinois",0
"G1701690","2014-2018",,,"Illinois","17","Schuyler County","169",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Schuyler County, Illinois",7064,"Schuyler County, Illinois",0
"G1701710","2014-2018",,,"Illinois","17","Scott County","171",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scott County, Illinois",5047,"Scott County, Illinois",0
"G1701730","2014-2018",,,"Illinois","17","Shelby County","173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shelby County, Illinois",21832,"Shelby County, Illinois",0
"G1701750","2014-2018",,,"Illinois","17","Stark County","175",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stark County, Illinois",5500,"Stark County, Illinois",0
"G1701770","2014-2018",,,"Illinois","17","Stephenson County","177",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stephenson County, Illinois",45433,"Stephenson County, Illinois",0
"G1701790","2014-2018",,,"Illinois","17","Tazewell County","179",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tazewell County, Illinois",133852,"Tazewell County, Illinois",0
"G1701810","2014-2018",,,"Illinois","17","Union County","181",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Union County, Illinois",17127,"Union County, Illinois",0
"G1701830","2014-2018",,,"Illinois","17","Vermilion County","183",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vermilion County, Illinois",78407,"Vermilion County, Illinois",0
"G1701850","2014-2018",,,"Illinois","17","Wabash County","185",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wabash County, Illinois",11573,"Wabash County, Illinois",0
"G1701870","2014-2018",,,"Illinois","17","Warren County","187",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Warren County, Illinois",17338,"Warren County, Illinois",0
"G1701890","2014-2018",,,"Illinois","17","Washington County","189",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Washington County, Illinois",14155,"Washington County, Illinois",0
"G1701910","2014-2018",,,"Illinois","17","Wayne County","191",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wayne County, Illinois",16487,"Wayne County, Illinois",0
"G1701930","2014-2018",,,"Illinois","17","White County","193",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"White County, Illinois",14025,"White County, Illinois",0
"G1701950","2014-2018",,,"Illinois","17","Whiteside County","195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Whiteside County, Illinois",56396,"Whiteside County, Illinois",0
"G1701970","2014-2018",,,"Illinois","17","Will County","197",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Will County, Illinois",688697,"Will County, Illinois",0
"G1701990","2014-2018",,,"Illinois","17","Williamson County","199",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Williamson County, Illinois",67299,"Williamson County, Illinois",0
"G1702010","2014-2018",,,"Illinois","17","Winnebago County","201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Winnebago County, Illinois",286174,"Winnebago County, Illinois",0
"G1702030","2014-2018",,,"Illinois","17","Woodford County","203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Woodford County, Illinois",38817,"Woodford County, Illinois",0
"G1800010","2014-2018",,,"Indiana","18","Adams County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adams County, Indiana",35195,"Adams County, Indiana",0
"G1800030","2014-2018",,,"Indiana","18","Allen County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Allen County, Indiana",370016,"Allen County, Indiana",0
"G1800050","2014-2018",,,"Indiana","18","Bartholomew County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bartholomew County, Indiana",81893,"Bartholomew County, Indiana",0
"G1800070","2014-2018",,,"Indiana","18","Benton County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Benton County, Indiana",8667,"Benton County, Indiana",0
"G1800090","2014-2018",,,"Indiana","18","Blackford County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blackford County, Indiana",12129,"Blackford County, Indiana",0
"G1800110","2014-2018",,,"Indiana","18","Boone County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boone County, Indiana",64321,"Boone County, Indiana",0
"G1800130","2014-2018",,,"Indiana","18","Brown County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brown County, Indiana",15034,"Brown County, Indiana",0
"G1800150","2014-2018",,,"Indiana","18","Carroll County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carroll County, Indiana",19994,"Carroll County, Indiana",0
"G1800170","2014-2018",,,"Indiana","18","Cass County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cass County, Indiana",38084,"Cass County, Indiana",0
"G1800190","2014-2018",,,"Indiana","18","Clark County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clark County, Indiana",115702,"Clark County, Indiana",0
"G1800210","2014-2018",,,"Indiana","18","Clay County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clay County, Indiana",26268,"Clay County, Indiana",0
"G1800230","2014-2018",,,"Indiana","18","Clinton County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clinton County, Indiana",32301,"Clinton County, Indiana",0
"G1800250","2014-2018",,,"Indiana","18","Crawford County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crawford County, Indiana",10581,"Crawford County, Indiana",0
"G1800270","2014-2018",,,"Indiana","18","Daviess County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Daviess County, Indiana",32937,"Daviess County, Indiana",0
"G1800290","2014-2018",,,"Indiana","18","Dearborn County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dearborn County, Indiana",49501,"Dearborn County, Indiana",0
"G1800310","2014-2018",,,"Indiana","18","Decatur County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Decatur County, Indiana",26552,"Decatur County, Indiana",0
"G1800330","2014-2018",,,"Indiana","18","DeKalb County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DeKalb County, Indiana",42704,"DeKalb County, Indiana",0
"G1800350","2014-2018",,,"Indiana","18","Delaware County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Delaware County, Indiana",115616,"Delaware County, Indiana",0
"G1800370","2014-2018",,,"Indiana","18","Dubois County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dubois County, Indiana",42418,"Dubois County, Indiana",0
"G1800390","2014-2018",,,"Indiana","18","Elkhart County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Elkhart County, Indiana",203604,"Elkhart County, Indiana",0
"G1800410","2014-2018",,,"Indiana","18","Fayette County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fayette County, Indiana",23259,"Fayette County, Indiana",0
"G1800430","2014-2018",,,"Indiana","18","Floyd County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Floyd County, Indiana",76809,"Floyd County, Indiana",0
